file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t4.xls,F,3,0.429,0.3422,0.0868,10.3333,10.9167,-0.5833,20210930_4_6,sample,800,0,Prha,+,4,0.0868,-0.5833
20210930_t4.xls,G,1,0.4123,0.3422,0.0701,10.6667,10.9167,-0.25,20210930_4_7,sample,800,0,petE,-,4,0.0701,-0.25
20210930_t4.xls,G,2,0.4142,0.3422,0.072,10.6667,10.9167,-0.25,20210930_4_7,sample,800,0,petE,-,4,0.072,-0.25
20210930_t4.xls,G,3,0.4246,0.3422,0.0824,10.6667,10.9167,-0.25,20210930_4_7,sample,800,0,petE,-,4,0.0824,-0.25
20210930_t4.xls,H,1,0.4162,0.3422,0.074,11,10.9167,0.0833,20210930_4_8,sample,800,0,petE,+,4,0.074,0.0833
20210930_t4.xls,H,2,0.4043,0.3422,0.0621,11,10.9167,0.0833,20210930_4_8,sample,800,0,petE,+,4,0.0621,0.0833
20210930_t4.xls,H,3,0.4125,0.3422,0.0703,10.6667,10.9167,-0.25,20210930_4_8,sample,800,0,petE,+,4,0.0703,-0.25
20210930_t5.xls,A,1,0.3957,0.3489,0.0468,12,11.5,0.5,20210930_5_1,sample,800,0,EVC,-,5,0.0468,0.5
20210930_t5.xls,A,2,0.3949,0.3489,0.0461,11.3333,11.5,-0.1667,20210930_5_1,sample,800,0,EVC,-,5,0.0461,-0.1667
20210930_t5.xls,A,3,0.3977,0.3489,0.0488,11.3333,11.5,-0.1667,20210930_5_1,sample,800,0,EVC,-,5,0.0488,-0.1667
20210930_t5.xls,B,1,0.3961,0.3489,0.0473,11.3333,11.5,-0.1667,20210930_5_2,sample,800,0,EVC,+,5,0.0473,-0.1667
20210930_t5.xls,B,2,0.4157,0.3489,0.0668,11.6667,11.5,0.1667,20210930_5_2,sample,800,0,EVC,+,5,0.0668,0.1667
20210930_t5.xls,B,3,0.43120000000000003,0.3489,0.0824,11,11.5,-0.5,20210930_5_2,sample,800,0,EVC,+,5,0.0824,-0.5
20210930_t5.xls,C,1,0.4083,0.3489,0.0594,11.6667,11.5,0.1667,20210930_5_3,sample,800,0,J23100,-,5,0.0594,0.1667
20210930_t5.xls,C,2,0.4286,0.3489,0.0797,10.6667,11.5,-0.8333,20210930_5_3,sample,800,0,J23100,-,5,0.0797,-0.8333
20210930_t5.xls,C,3,0.4267,0.3489,0.0778,11.3333,11.5,-0.1667,20210930_5_3,sample,800,0,J23100,-,5,0.0778,-0.1667
20210930_t5.xls,D,1,0.3919,0.3489,0.043,11,11.5,-0.5,20210930_5_4,sample,800,0,J23100,+,5,0.043,-0.5
20210930_t5.xls,D,2,0.4226,0.3489,0.0737,11.6667,11.5,0.1667,20210930_5_4,sample,800,0,J23100,+,5,0.0737,0.1667
20210930_t5.xls,D,3,0.4227,0.3489,0.0738,11.6667,11.5,0.1667,20210930_5_4,sample,800,0,J23100,+,5,0.0738,0.1667
20210930_t5.xls,E,1,0.4158,0.3489,0.0669,10.3333,11.5,-1.1667,20210930_5_5,sample,800,0,Prha,-,5,0.0669,-1.1667
20210930_t5.xls,E,2,0.4306,0.3489,0.0817,11,11.5,-0.5,20210930_5_5,sample,800,0,Prha,-,5,0.0817,-0.5
20210930_t5.xls,E,3,0.4273,0.3489,0.0784,10.6667,11.5,-0.8333,20210930_5_5,sample,800,0,Prha,-,5,0.0784,-0.8333
20210930_t5.xls,F,1,0.417,0.3489,0.0681,11,11.5,-0.5,20210930_5_6,sample,800,0,Prha,+,5,0.0681,-0.5
20210930_t5.xls,F,2,0.4356,0.3489,0.0867,11,11.5,-0.5,20210930_5_6,sample,800,0,Prha,+,5,0.0867,-0.5
20210930_t5.xls,F,3,0.4315,0.3489,0.0826,11,11.5,-0.5,20210930_5_6,sample,800,0,Prha,+,5,0.0826,-0.5
20210930_t5.xls,G,1,0.4129,0.3489,0.064,12.3333,11.5,0.8333,20210930_5_7,sample,800,0,petE,-,5,0.064,0.8333
20210930_t5.xls,G,2,0.4154,0.3489,0.0665,11,11.5,-0.5,20210930_5_7,sample,800,0,petE,-,5,0.0665,-0.5
20210930_t5.xls,G,3,0.4202,0.3489,0.0714,11.6667,11.5,0.1667,20210930_5_7,sample,800,0,petE,-,5,0.0714,0.1667
20210930_t5.xls,H,1,0.4116,0.3489,0.0628,11.6667,11.5,0.1667,20210930_5_8,sample,800,0,petE,+,5,0.0628,0.1667
