sample_id,measurement_name,block_name,nm,abs,strain,induction,timepoint,norm_abs
20210930_0_2,2,20210930,424,0.36,EVC,+,0,0.8974
20210930_0_2,2,20210930,425,0.36,EVC,+,0,0.8979
20210930_0_2,2,20210930,426,0.3604,EVC,+,0,0.9006
20210930_0_2,2,20210930,427,0.3606,EVC,+,0,0.9024
20210930_0_2,2,20210930,428,0.361,EVC,+,0,0.9056
20210930_0_2,2,20210930,429,0.3614,EVC,+,0,0.9087
20210930_0_2,2,20210930,430,0.3618,EVC,+,0,0.9118
20210930_0_2,2,20210930,431,0.3626,EVC,+,0,0.9176
20210930_0_2,2,20210930,432,0.3633,EVC,+,0,0.923
20210930_0_2,2,20210930,433,0.3643,EVC,+,0,0.9311
20210930_0_2,2,20210930,434,0.3655,EVC,+,0,0.9401
20210930_0_2,2,20210930,435,0.3664,EVC,+,0,0.9476
20210930_0_2,2,20210930,436,0.3678,EVC,+,0,0.9587
20210930_0_2,2,20210930,437,0.3689,EVC,+,0,0.9668
20210930_0_2,2,20210930,438,0.3702,EVC,+,0,0.9772
20210930_0_2,2,20210930,439,0.371,EVC,+,0,0.9835
20210930_0_2,2,20210930,440,0.3721,EVC,+,0,0.9922
20210930_0_2,2,20210930,441,0.3728,EVC,+,0,0.9971
20210930_0_2,2,20210930,442,0.373,EVC,+,0,0.9987
20210930_0_2,2,20210930,443,0.3731,EVC,+,0,1
20210930_0_2,2,20210930,444,0.3727,EVC,+,0,0.9969
20210930_0_2,2,20210930,445,0.3722,EVC,+,0,0.9931
20210930_0_2,2,20210930,446,0.3712,EVC,+,0,0.9852
20210930_0_2,2,20210930,447,0.3702,EVC,+,0,0.977
20210930_0_2,2,20210930,448,0.3685,EVC,+,0,0.9635
20210930_0_2,2,20210930,449,0.3668,EVC,+,0,0.9507
20210930_0_2,2,20210930,450,0.3649,EVC,+,0,0.9359
20210930_0_2,2,20210930,451,0.3629,EVC,+,0,0.9202
20210930_0_2,2,20210930,452,0.3608,EVC,+,0,0.9041
20210930_0_2,2,20210930,453,0.3589,EVC,+,0,0.8889
20210930_0_2,2,20210930,454,0.357,EVC,+,0,0.8745
20210930_0_2,2,20210930,455,0.3551,EVC,+,0,0.8595
20210930_0_2,2,20210930,456,0.3536,EVC,+,0,0.8474
20210930_0_2,2,20210930,457,0.352,EVC,+,0,0.8353
20210930_0_2,2,20210930,458,0.3508,EVC,+,0,0.8261
